
---------- Begin Simulation Statistics ----------
system.cpu.branchPred.RASUsed                    2732                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                 10                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            2547                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               2211                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              336                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted           96                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts           42563                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              72                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              1872                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples       695728                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     3.898975                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     3.261108                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0          169360     24.34%     24.34% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1           81269     11.68%     36.02% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2           75664     10.88%     46.90% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3           12339      1.77%     48.67% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4            4035      0.58%     49.25% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          129499     18.61%     67.87% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6            3600      0.52%     68.38% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7            1919      0.28%     68.66% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          218043     31.34%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total       695728                       # Number of insts commited each cycle (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          48                       # Number of memory barriers committed (Count)
system.cpu.commit.functionCalls                  2407                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass         1439      0.05%      0.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu      1089749     40.17%     40.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult           42      0.00%     40.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           35      0.00%     40.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd        65756      2.42%     42.65% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     42.65% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     42.65% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     42.65% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     42.65% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     42.65% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     42.65% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     42.65% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd       137226      5.06%     47.71% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     47.71% # Class of committed instruction (Count)
